Model,Variant,Embedding,Vocab,K,Repeat,Experiment,Source_File,Timing_Run_Name,NPMI,Diversity,Valid_Topics,Dropped_Topics
BERTopic,NoiseParams fullK,Heavy,,30,Run1,BERTopic | NoiseParams fullK | Heavy | K30 | Run1,bertopic_topics_HEAVY_EMBfinal_noiseparams_fullK30.json,HEAVY_EMBfinal_noiseparams_K30,0.09612403267186784,0.9103448275862069,29,0
BERTopic,NoiseParams fullK,Light,,40,Run1,BERTopic | NoiseParams fullK | Light | K40 | Run1,bertopic_topics_LIGHT_EMBfinal_noiseparams_fullK40.json,LIGHT_EMBfinal_noiseparams_K40,0.13550538935178055,0.85,38,0
BERTopic,NoiseParams fullK,Heavy,,40,Run1,BERTopic | NoiseParams fullK | Heavy | K40 | Run1,bertopic_topics_HEAVY_EMBfinal_noiseparams_fullK40.json,HEAVY_EMBfinal_noiseparams_K40,0.10567671662084958,0.8578947368421053,38,1
BERTopic,NoiseParams fullK,Light,,50,Run1,BERTopic | NoiseParams fullK | Light | K50 | Run1,bertopic_topics_LIGHT_EMBfinal_noiseparams_fullK50.json,LIGHT_EMBfinal_noiseparams_K50,0.12508812861148566,0.8395833333333333,48,0
BERTopic,NoiseParams fullK,Heavy,,50,Run1,BERTopic | NoiseParams fullK | Heavy | K50 | Run1,bertopic_topics_HEAVY_EMBfinal_noiseparams_fullK50.json,HEAVY_EMBfinal_noiseparams_K50,0.06225784906010981,0.8282608695652174,46,1
BERTopic,NoiseParams fullK,Light,,60,Run1,BERTopic | NoiseParams fullK | Light | K60 | Run1,bertopic_topics_LIGHT_EMBfinal_noiseparams_fullK60.json,LIGHT_EMBfinal_noiseparams_K60,0.1143535893729059,0.8425925925925926,54,1
BERTopic,NoiseParams fullK,Heavy,,60,Run1,BERTopic | NoiseParams fullK | Heavy | K60 | Run1,bertopic_topics_HEAVY_EMBfinal_noiseparams_fullK60.json,HEAVY_EMBfinal_noiseparams_K60,0.08387137766003244,0.8574074074074074,54,2
BERTopic,NoiseParams fullK,Light,,10,Run2,BERTopic | NoiseParams fullK | Light | K10 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK10.json,LIGHT_EMBfinal2_noiseparams_K10,0.0685581621047564,0.93,10,0
BERTopic,NoiseParams fullK,Heavy,,10,Run2,BERTopic | NoiseParams fullK | Heavy | K10 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK10.json,HEAVY_EMBfinal2_noiseparams_K10,0.08974960059797576,0.9,10,0
BERTopic,NoiseParams fullK,Light,,20,Run2,BERTopic | NoiseParams fullK | Light | K20 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK20.json,LIGHT_EMBfinal2_noiseparams_K20,0.14051637462332264,0.89,20,0
BERTopic,NoiseParams fullK,Heavy,,20,Run2,BERTopic | NoiseParams fullK | Heavy | K20 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK20.json,HEAVY_EMBfinal2_noiseparams_K20,0.10913102860101201,0.8894736842105263,19,0
BERTopic,NoiseParams fullK,Light,,30,Run2,BERTopic | NoiseParams fullK | Light | K30 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK30.json,LIGHT_EMBfinal2_noiseparams_K30,0.1391858775188106,0.8692307692307693,26,0
BERTopic,NoiseParams fullK,Heavy,,30,Run2,BERTopic | NoiseParams fullK | Heavy | K30 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK30.json,HEAVY_EMBfinal2_noiseparams_K30,0.11536890461195937,0.8827586206896552,29,1
BERTopic,NoiseParams fullK,Light,,40,Run2,BERTopic | NoiseParams fullK | Light | K40 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK40.json,LIGHT_EMBfinal2_noiseparams_K40,0.12921030538704073,0.8648648648648649,37,2
BERTopic,NoiseParams fullK,Heavy,,40,Run2,BERTopic | NoiseParams fullK | Heavy | K40 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK40.json,HEAVY_EMBfinal2_noiseparams_K40,0.11322888628540727,0.8894736842105263,38,1
BERTopic,NoiseParams fullK,Light,,50,Run2,BERTopic | NoiseParams fullK | Light | K50 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK50.json,LIGHT_EMBfinal2_noiseparams_K50,0.1497011802044299,0.851063829787234,47,1
BERTopic,NoiseParams fullK,Heavy,,50,Run2,BERTopic | NoiseParams fullK | Heavy | K50 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK50.json,HEAVY_EMBfinal2_noiseparams_K50,0.0685755553405841,0.8659574468085106,47,2
