BERTopic,LIGHT_EMBfinal_noiseparams_fullK40,40,180.41,3.01
BERTopic,HEAVY_EMBfinal_noiseparams_fullK40,40,144.86,2.41
BERTopic,LIGHT_EMBfinal_noiseparams_fullK50,50,179.94,3.0
BERTopic,HEAVY_EMBfinal_noiseparams_fullK50,50,141.87,2.36
BERTopic,LIGHT_EMBfinal_noiseparams_fullK60,60,184.65,3.08
BERTopic,HEAVY_EMBfinal_noiseparams_fullK60,60,143.95,2.4
BERTopic,LIGHT_EMBfinal_reassignment_fullK10,10,214.17,3.57
BERTopic,HEAVY_EMBfinal_reassignment_fullK10,10,153.89,2.56
BERTopic,LIGHT_EMBfinal_reassignment_fullK20,20,207.61,3.46
BERTopic,HEAVY_EMBfinal_reassignment_fullK20,20,157.5,2.62
BERTopic,LIGHT_EMBfinal_reassignment_fullK30,30,210.19,3.5
BERTopic,HEAVY_EMBfinal_reassignment_fullK30,30,157.98,2.63
BERTopic,LIGHT_EMBfinal_reassignment_fullK40,40,207.03,3.45
BERTopic,HEAVY_EMBfinal_reassignment_fullK40,40,160.72,2.68
BERTopic,LIGHT_EMBfinal_reassignment_fullK50,50,211.58,3.53
BERTopic,HEAVY_EMBfinal_reassignment_fullK50,50,169.14,2.82
BERTopic,LIGHT_EMBfinal_reassignment_fullK60,60,211.62,3.53
BERTopic,HEAVY_EMBfinal_reassignment_fullK60,60,172.3,2.87
BERTopic,LIGHT_EMBfinal2_noiseparams_fullK10,10,299.77,5.0
BERTopic,HEAVY_EMBfinal2_noiseparams_fullK10,10,231.89,3.86
BERTopic,LIGHT_EMBfinal2_noiseparams_fullK20,20,241.85,4.03
BERTopic,HEAVY_EMBfinal2_noiseparams_fullK20,20,163.62,2.73
BERTopic,LIGHT_EMBfinal2_noiseparams_fullK30,30,206.3,3.44
BERTopic,HEAVY_EMBfinal2_noiseparams_fullK30,30,170.1,2.83
BERTopic,LIGHT_EMBfinal2_noiseparams_fullK40,40,286.46,4.77
