Model,Variant,Embedding,Vocab,K,Repeat,Experiment,Source_File,Timing_Run_Name,NPMI,Diversity,Valid_Topics,Dropped_Topics,Runtime_Seconds,Runtime_Minutes,Runtime_Log_Entries,Timing_Run_Names
BERTopic,Base fullK,Heavy,,40,Run3,BERTopic | Base fullK | Heavy | K40 | Run3,bertopic_topics_HEAVY_EMBfinal3_fullK40.json,HEAVY_EMBfinal3_K40,0.1321717367838307,0.8810810810810811,37,2,139.65,2.33,1,HEAVY_EMBfinal3_fullK40
BERTopic,Base fullK,Light,,50,Run3,BERTopic | Base fullK | Light | K50 | Run3,bertopic_topics_LIGHT_EMBfinal3_fullK50.json,LIGHT_EMBfinal3_K50,0.1368555579012983,0.8276595744680851,47,2,169.28,2.82,1,LIGHT_EMBfinal3_fullK50
BERTopic,Base fullK,Heavy,,50,Run3,BERTopic | Base fullK | Heavy | K50 | Run3,bertopic_topics_HEAVY_EMBfinal3_fullK50.json,HEAVY_EMBfinal3_K50,0.1725534629621699,0.8354166666666667,48,1,135.87,2.26,1,HEAVY_EMBfinal3_fullK50
BERTopic,Base fullK,Light,,60,Run3,BERTopic | Base fullK | Light | K60 | Run3,bertopic_topics_LIGHT_EMBfinal3_fullK60.json,LIGHT_EMBfinal3_K60,0.1382927814488278,0.7983050847457627,59,0,169.76,2.83,1,LIGHT_EMBfinal3_fullK60
BERTopic,Base fullK,Heavy,,60,Run3,BERTopic | Base fullK | Heavy | K60 | Run3,bertopic_topics_HEAVY_EMBfinal3_fullK60.json,HEAVY_EMBfinal3_K60,0.1780060827271125,0.8293103448275863,58,1,138.27,2.3,1,HEAVY_EMBfinal3_fullK60
BERTopic,NoiseParams fullK,Light,,10,Run1,BERTopic | NoiseParams fullK | Light | K10 | Run1,bertopic_topics_LIGHT_EMBfinal_noiseparams_fullK10.json,LIGHT_EMBfinal_noiseparams_K10,0.1153816167933082,0.9555555555555556,9,0,198.22,3.3,1,LIGHT_EMBfinal_noiseparams_fullK10
BERTopic,NoiseParams fullK,Heavy,,10,Run1,BERTopic | NoiseParams fullK | Heavy | K10 | Run1,bertopic_topics_HEAVY_EMBfinal_noiseparams_fullK10.json,HEAVY_EMBfinal_noiseparams_K10,0.1180931100594629,0.92,10,0,156.07,2.6,1,HEAVY_EMBfinal_noiseparams_fullK10
BERTopic,NoiseParams fullK,Light,,20,Run1,BERTopic | NoiseParams fullK | Light | K20 | Run1,bertopic_topics_LIGHT_EMBfinal_noiseparams_fullK20.json,LIGHT_EMBfinal_noiseparams_K20,0.1593273887024946,0.95,18,2,191.14,3.19,1,LIGHT_EMBfinal_noiseparams_fullK20
BERTopic,NoiseParams fullK,Heavy,,20,Run1,BERTopic | NoiseParams fullK | Heavy | K20 | Run1,bertopic_topics_HEAVY_EMBfinal_noiseparams_fullK20.json,HEAVY_EMBfinal_noiseparams_K20,0.110454245931141,0.87,20,0,157.5,2.62,1,HEAVY_EMBfinal_noiseparams_fullK20
BERTopic,NoiseParams fullK,Light,,30,Run1,BERTopic | NoiseParams fullK | Light | K30 | Run1,bertopic_topics_LIGHT_EMBfinal_noiseparams_fullK30.json,LIGHT_EMBfinal_noiseparams_K30,0.1249212466936034,0.8931034482758621,29,0,184.59,3.08,1,LIGHT_EMBfinal_noiseparams_fullK30
BERTopic,NoiseParams fullK,Heavy,,30,Run1,BERTopic | NoiseParams fullK | Heavy | K30 | Run1,bertopic_topics_HEAVY_EMBfinal_noiseparams_fullK30.json,HEAVY_EMBfinal_noiseparams_K30,0.0961240326718678,0.9103448275862068,29,0,152.53,2.54,1,HEAVY_EMBfinal_noiseparams_fullK30
BERTopic,NoiseParams fullK,Light,,40,Run1,BERTopic | NoiseParams fullK | Light | K40 | Run1,bertopic_topics_LIGHT_EMBfinal_noiseparams_fullK40.json,LIGHT_EMBfinal_noiseparams_K40,0.1355053893517805,0.85,38,0,194.65,3.24,1,LIGHT_EMBfinal_noiseparams_fullK40
BERTopic,NoiseParams fullK,Heavy,,40,Run1,BERTopic | NoiseParams fullK | Heavy | K40 | Run1,bertopic_topics_HEAVY_EMBfinal_noiseparams_fullK40.json,HEAVY_EMBfinal_noiseparams_K40,0.1056767166208495,0.8578947368421053,38,1,157.22,2.62,1,HEAVY_EMBfinal_noiseparams_fullK40
