Experiment,Model,Variant,Embedding,K,Repeat,Source_File,Total_Docs,Noise_Docs,Noise_Percent,Final_Topics_Found
HEAVY_EMBfinal_reassignment_fullK10,BERTopic,Reassignment,Heavy,10,Run1,bertopic_assignments_HEAVY_EMBfinal_reassignment_fullK10.csv,150000,0,0.0,10
HEAVY_EMBfinal2_reassignment_fullK10,BERTopic,Reassignment,Heavy,10,Run2,bertopic_assignments_HEAVY_EMBfinal2_reassignment_fullK10.csv,150000,0,0.0,10
HEAVY_EMBfinal3_reassignment_fullK10,BERTopic,Reassignment,Heavy,10,Run3,bertopic_assignments_HEAVY_EMBfinal3_reassignment_fullK10.csv,150000,0,0.0,10
HEAVY_EMBfinal_reassignment_fullK20,BERTopic,Reassignment,Heavy,20,Run1,bertopic_assignments_HEAVY_EMBfinal_reassignment_fullK20.csv,150000,0,0.0,20
HEAVY_EMBfinal2_reassignment_fullK20,BERTopic,Reassignment,Heavy,20,Run2,bertopic_assignments_HEAVY_EMBfinal2_reassignment_fullK20.csv,150000,0,0.0,20
HEAVY_EMBfinal3_reassignment_fullK20,BERTopic,Reassignment,Heavy,20,Run3,bertopic_assignments_HEAVY_EMBfinal3_reassignment_fullK20.csv,150000,0,0.0,20
HEAVY_EMBfinal_reassignment_fullK30,BERTopic,Reassignment,Heavy,30,Run1,bertopic_assignments_HEAVY_EMBfinal_reassignment_fullK30.csv,150000,0,0.0,30
HEAVY_EMBfinal2_reassignment_fullK30,BERTopic,Reassignment,Heavy,30,Run2,bertopic_assignments_HEAVY_EMBfinal2_reassignment_fullK30.csv,150000,0,0.0,30
HEAVY_EMBfinal3_reassignment_fullK30,BERTopic,Reassignment,Heavy,30,Run3,bertopic_assignments_HEAVY_EMBfinal3_reassignment_fullK30.csv,150000,0,0.0,30
HEAVY_EMBfinal_reassignment_fullK40,BERTopic,Reassignment,Heavy,40,Run1,bertopic_assignments_HEAVY_EMBfinal_reassignment_fullK40.csv,150000,0,0.0,40
HEAVY_EMBfinal2_reassignment_fullK40,BERTopic,Reassignment,Heavy,40,Run2,bertopic_assignments_HEAVY_EMBfinal2_reassignment_fullK40.csv,150000,0,0.0,40
HEAVY_EMBfinal3_reassignment_fullK40,BERTopic,Reassignment,Heavy,40,Run3,bertopic_assignments_HEAVY_EMBfinal3_reassignment_fullK40.csv,150000,0,0.0,40
HEAVY_EMBfinal_reassignment_fullK50,BERTopic,Reassignment,Heavy,50,Run1,bertopic_assignments_HEAVY_EMBfinal_reassignment_fullK50.csv,150000,0,0.0,50
HEAVY_EMBfinal2_reassignment_fullK50,BERTopic,Reassignment,Heavy,50,Run2,bertopic_assignments_HEAVY_EMBfinal2_reassignment_fullK50.csv,150000,0,0.0,50
HEAVY_EMBfinal3_reassignment_fullK50,BERTopic,Reassignment,Heavy,50,Run3,bertopic_assignments_HEAVY_EMBfinal3_reassignment_fullK50.csv,150000,0,0.0,50
HEAVY_EMBfinal_reassignment_fullK60,BERTopic,Reassignment,Heavy,60,Run1,bertopic_assignments_HEAVY_EMBfinal_reassignment_fullK60.csv,150000,0,0.0,60
HEAVY_EMBfinal2_reassignment_fullK60,BERTopic,Reassignment,Heavy,60,Run2,bertopic_assignments_HEAVY_EMBfinal2_reassignment_fullK60.csv,150000,0,0.0,60
HEAVY_EMBfinal3_reassignment_fullK60,BERTopic,Reassignment,Heavy,60,Run3,bertopic_assignments_HEAVY_EMBfinal3_reassignment_fullK60.csv,150000,0,0.0,60
LIGHT_EMBfinal_reassignment_fullK10,BERTopic,Reassignment,Light,10,Run1,bertopic_assignments_LIGHT_EMBfinal_reassignment_fullK10.csv,150000,0,0.0,10
LIGHT_EMBfinal2_reassignment_fullK10,BERTopic,Reassignment,Light,10,Run2,bertopic_assignments_LIGHT_EMBfinal2_reassignment_fullK10.csv,150000,0,0.0,10
LIGHT_EMBfinal3_reassignment_fullK10,BERTopic,Reassignment,Light,10,Run3,bertopic_assignments_LIGHT_EMBfinal3_reassignment_fullK10.csv,150000,0,0.0,10
LIGHT_EMBfinal_reassignment_fullK20,BERTopic,Reassignment,Light,20,Run1,bertopic_assignments_LIGHT_EMBfinal_reassignment_fullK20.csv,150000,0,0.0,20
LIGHT_EMBfinal2_reassignment_fullK20,BERTopic,Reassignment,Light,20,Run2,bertopic_assignments_LIGHT_EMBfinal2_reassignment_fullK20.csv,150000,0,0.0,20
LIGHT_EMBfinal3_reassignment_fullK20,BERTopic,Reassignment,Light,20,Run3,bertopic_assignments_LIGHT_EMBfinal3_reassignment_fullK20.csv,150000,0,0.0,20
LIGHT_EMBfinal_reassignment_fullK30,BERTopic,Reassignment,Light,30,Run1,bertopic_assignments_LIGHT_EMBfinal_reassignment_fullK30.csv,150000,0,0.0,30
LIGHT_EMBfinal2_reassignment_fullK30,BERTopic,Reassignment,Light,30,Run2,bertopic_assignments_LIGHT_EMBfinal2_reassignment_fullK30.csv,150000,0,0.0,30
LIGHT_EMBfinal3_reassignment_fullK30,BERTopic,Reassignment,Light,30,Run3,bertopic_assignments_LIGHT_EMBfinal3_reassignment_fullK30.csv,150000,0,0.0,30
LIGHT_EMBfinal_reassignment_fullK40,BERTopic,Reassignment,Light,40,Run1,bertopic_assignments_LIGHT_EMBfinal_reassignment_fullK40.csv,150000,0,0.0,40
LIGHT_EMBfinal2_reassignment_fullK40,BERTopic,Reassignment,Light,40,Run2,bertopic_assignments_LIGHT_EMBfinal2_reassignment_fullK40.csv,150000,0,0.0,40
LIGHT_EMBfinal3_reassignment_fullK40,BERTopic,Reassignment,Light,40,Run3,bertopic_assignments_LIGHT_EMBfinal3_reassignment_fullK40.csv,150000,0,0.0,40
LIGHT_EMBfinal_reassignment_fullK50,BERTopic,Reassignment,Light,50,Run1,bertopic_assignments_LIGHT_EMBfinal_reassignment_fullK50.csv,150000,0,0.0,50
LIGHT_EMBfinal2_reassignment_fullK50,BERTopic,Reassignment,Light,50,Run2,bertopic_assignments_LIGHT_EMBfinal2_reassignment_fullK50.csv,150000,0,0.0,50
LIGHT_EMBfinal3_reassignment_fullK50,BERTopic,Reassignment,Light,50,Run3,bertopic_assignments_LIGHT_EMBfinal3_reassignment_fullK50.csv,150000,0,0.0,50
LIGHT_EMBfinal_reassignment_fullK60,BERTopic,Reassignment,Light,60,Run1,bertopic_assignments_LIGHT_EMBfinal_reassignment_fullK60.csv,150000,0,0.0,60
LIGHT_EMBfinal2_reassignment_fullK60,BERTopic,Reassignment,Light,60,Run2,bertopic_assignments_LIGHT_EMBfinal2_reassignment_fullK60.csv,150000,0,0.0,60
LIGHT_EMBfinal3_reassignment_fullK60,BERTopic,Reassignment,Light,60,Run3,bertopic_assignments_LIGHT_EMBfinal3_reassignment_fullK60.csv,150000,0,0.0,60
