doc_id,topic_id,topic_label
A0068718_00018.xml,12,aktiebolag_enka_gust_aktiebolaget_konkurs
A0068718_00448.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00447.xml,-1,noise
A0068718_01341.xml,-1,noise
A0068718_00380.xml,-1,noise
A0068718_01305.xml,-1,noise
A0068718_00517.xml,-1,noise
A0068718_00387.xml,-1,noise
A0068718_00318.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00679.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00060.xml,-1,noise
A0068718_00064.xml,-1,noise
A0068718_00302.xml,-1,noise
A0068718_00233.xml,-1,noise
A0068718_00507.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00016.xml,2,sahl_will_hustru_dhem_män
A0068718_01055.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00615.xml,-1,noise
A0068718_00395.xml,-1,noise
A0068718_01203.xml,-1,noise
A0068718_00324.xml,-1,noise
A0068718_00875.xml,-1,noise
A0068718_01040.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00709.xml,-1,noise
A0068718_01100.xml,-1,noise
A0068718_00975.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_01295.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00819.xml,-1,noise
A0068718_01093.xml,-1,noise
A0068718_00113.xml,-1,noise
A0068718_00278.xml,-1,noise
A0068718_00941.xml,-1,noise
A0068718_01354.xml,-1,noise
A0068718_00685.xml,-1,noise
A0068718_01301.xml,-1,noise
A0068718_00831.xml,-1,noise
A0068718_00766.xml,-1,noise
A0068718_01174.xml,-1,noise
A0068718_00237.xml,-1,noise
A0068718_01281.xml,-1,noise
A0068718_00876.xml,-1,noise
A0068718_00396.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00047.xml,-1,noise
A0068718_00972.xml,-1,noise
A0068718_01033.xml,10,riddaren_hofrätts_fru_referent_fredric
A0068718_01256.xml,-1,noise
A0068718_00907.xml,-1,noise
A0068718_00127.xml,-1,noise
A0068718_00245.xml,-1,noise
A0068718_00094.xml,-1,noise
A0068718_01029.xml,-1,noise
A0068718_00171.xml,-1,noise
A0068718_01283.xml,-1,noise
A0068718_00848.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_01273.xml,-1,noise
A0068718_00989.xml,-1,noise
A0068718_00628.xml,-1,noise
A0068718_00307.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_01326.xml,-1,noise
A0068718_01060.xml,-1,noise
A0068718_00643.xml,-1,noise
A0068718_00227.xml,-1,noise
A0068718_01276.xml,9,häktad_häktade_häktades_brotts_com
A0068718_01213.xml,7,skrift_may_julij_cum_augusti
A0068718_00201.xml,10,riddaren_hofrätts_fru_referent_fredric
A0068718_00485.xml,-1,noise
A0068718_00804.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00924.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00926.xml,-1,noise
A0068718_00540.xml,-1,noise
A0068718_01150.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00112.xml,-1,noise
A0068718_01318.xml,-1,noise
A0068718_00516.xml,10,riddaren_hofrätts_fru_referent_fredric
A0068718_00776.xml,-1,noise
A0068718_00730.xml,-1,noise
A0068718_01129.xml,-1,noise
A0068718_00072.xml,-1,noise
